Timestamp,FER1,FER2,FER3,FER4,FER5,FER6,FER7,FER8,FER9,FER10,FER11,FER12,,Fly1,Fly2,Fly3,Fly4,Fly5,Fly6,Fly7,Fly8,Fly9,Fly10
11-06-2026,98.06,97.7725,97.52,97.395,97.345,97.345,97.3775,97.425,97.4525,97.455,97.445,97.425,,0.035,0.1275,0.075,0.05,0.0325,0.015,-0.02,-0.025,-0.0125,-0.01
10-06-2026,98.0625,97.76,97.5,97.36,97.2975,97.2925,97.325,97.3725,97.4025,97.41,97.4,97.3825,,0.0425,0.12,0.0775,0.0575,0.0375,0.015,-0.0175,-0.0225,-0.0175,-0.0075
09-06-2026,98.0625,97.76,97.515,97.3875,97.3325,97.33,97.3625,97.4075,97.4325,97.4325,97.42,97.3975,,0.0575,0.1175,0.0725,0.0525,0.035,0.0125,-0.02,-0.025,-0.0125,-0.01
08-06-2026,98.0625,97.7575,97.5,97.365,97.3025,97.2975,97.33,97.3775,97.405,97.4075,97.395,97.3775,,0.0475,0.1225,0.0725,0.0575,0.0375,0.015,-0.02,-0.025,-0.015,-0.005
05-06-2026,98.065,97.77,97.51,97.375,97.3125,97.31,97.3525,97.405,97.4325,97.4325,97.42,97.3975,,0.035,0.125,0.0725,0.06,0.045,0.01,-0.025,-0.0275,-0.0125,-0.01
04-06-2026,98.065,97.7725,97.535,97.405,97.3425,97.34,97.38,97.435,97.4675,97.475,97.465,97.445,,0.055,0.1075,0.0675,0.06,0.0425,0.015,-0.0225,-0.025,-0.0175,-0.01
03-06-2026,98.0625,97.77,97.5175,97.3825,97.32,97.3175,97.3625,97.4225,97.46,97.4675,97.4575,97.4375,,0.04,0.1175,0.0725,0.06,0.0475,0.015,-0.0225,-0.03,-0.0175,-0.01
02-06-2026,98.0625,97.7775,97.535,97.415,97.3725,97.385,97.44,97.505,97.5375,97.5425,97.53,97.5075,,0.0425,0.1225,0.0775,0.055,0.0425,0.01,-0.0325,-0.0275,-0.0175,-0.01
01-06-2026,98.0625,97.78,97.5325,97.4,97.35,97.3625,97.4175,97.48,97.51,97.5125,97.4975,97.475,,0.035,0.115,0.0825,0.0625,0.0425,0.0075,-0.0325,-0.0275,-0.0175,-0.0075
29-05-2026,98.065,97.8025,97.6175,97.52,97.485,97.4975,97.5425,97.5925,97.61,97.6025,97.5775,97.55,,0.0775,0.0875,0.0625,0.0475,0.0325,0.005,-0.0325,-0.025,-0.0175,-0.0025
28-05-2026,98.065,97.7975,97.595,97.4975,97.465,97.475,97.5175,97.5625,97.575,97.5675,97.5475,97.52,,0.065,0.105,0.065,0.0425,0.0325,0.0025,-0.0325,-0.02,-0.0125,-0.0075
27-05-2026,98.065,97.79,97.5725,97.4675,97.4275,97.4375,97.48,97.525,97.5375,97.5275,97.51,97.485,,0.0575,0.1125,0.065,0.05,0.0325,0.0025,-0.0325,-0.0225,-0.0075,-0.0075
26-05-2026,98.065,97.795,97.57,97.45,97.4025,97.41,97.45,97.495,97.505,97.5,97.485,97.4675,,0.045,0.105,0.0725,0.055,0.0325,0.005,-0.035,-0.015,-0.01,-0.0025
25-05-2026,98.0625,97.8375,97.6425,97.52,97.4725,97.4775,97.5125,97.55,97.555,97.5425,97.5225,97.5,,0.03,0.0725,0.075,0.0525,0.03,0.0025,-0.0325,-0.0175,-0.0075,-0.0025
22-05-2026,98.065,97.8,97.55,97.4075,97.34,97.34,97.38,97.4275,97.4425,97.44,97.4275,97.41,,0.015,0.1075,0.075,0.0675,0.04,0.0075,-0.0325,-0.0175,-0.01,-0.005
