Fly,Window,Start,End,TradingDays,AverageRollingMean,ShiftSigma,Direction
Fly6,20,2024-01-30,2024-05-29,81,-0.0414475308641977,-1.644605232453658,cheap/compressed
Fly6,20,2024-09-11,2024-10-03,17,-0.03722058823529349,-1.3705261289138275,cheap/compressed
Fly6,20,2025-01-16,2025-01-28,9,-0.0003055555555536197,1.02308077618617,rich/wide
Fly6,20,2025-12-22,2026-01-20,20,0.0007875000000017351,1.0939555698815617,rich/wide
Fly6,20,2026-03-13,2026-04-06,16,0.000632812500000135,1.0839254807482614,rich/wide
Fly6,20,2026-05-28,2026-06-11,11,0.004556818181817978,1.3383618556835524,rich/wide
Fly7,20,2024-01-30,2024-04-11,51,-0.0374289215686294,-1.7462834490553287,cheap/compressed
Fly7,20,2024-11-19,2024-11-28,8,0.0037343749999976692,1.029347105194686,rich/wide
Fly7,20,2025-01-09,2025-02-11,24,0.005645833333334386,1.1582362514840248,rich/wide
Fly7,20,2026-01-28,2026-02-04,3,0.0034166666666649802,1.0079241135771937,rich/wide
Fly7,20,2026-03-31,2026-06-11,52,-0.037259615384615224,-1.7348671763914096,cheap/compressed
Fly8,20,2024-01-30,2024-03-28,43,-0.020424418604648453,-1.7394958762081756,cheap/compressed
Fly8,20,2024-10-24,2024-12-04,30,0.004341666666668568,1.312265325101945,rich/wide
Fly8,20,2025-01-13,2025-02-06,19,0.0025263157894697035,1.0885716200570066,rich/wide
Fly8,20,2026-01-30,2026-02-17,13,0.002355769230769001,1.0675562934457172,rich/wide
Fly8,20,2026-04-24,2026-06-11,35,-0.01817142857142867,-1.461874786924375,cheap/compressed
Fly9,20,2024-02-12,2024-02-23,10,0.006274999999998414,1.2043912546583115,rich/wide
Fly9,20,2024-03-11,2024-03-11,1,0.005374999999994401,1.0521397019072165,rich/wide
Fly9,20,2024-06-05,2024-06-18,10,-0.00783750000000083,-1.1829976766640582,cheap/compressed
Fly9,20,2025-04-09,2025-06-02,38,0.00631907894737034,1.2118480193038443,rich/wide
Fly9,20,2026-03-24,2026-04-22,21,-0.009053571428570469,-1.3887185247253295,cheap/compressed
Fly9,20,2026-05-15,2026-06-11,20,-0.009112499999998141,-1.3986873763933594,cheap/compressed
Fly10,20,2024-01-30,2024-02-22,18,0.01445833333333096,1.8258993910979489,rich/wide
Fly10,20,2024-09-06,2024-09-10,3,-0.0025416666666662497,-1.0266427451091813,cheap/compressed
Fly10,20,2025-04-28,2025-05-20,17,0.01041911764705457,1.1481327474312375,rich/wide
Fly10,20,2026-03-25,2026-04-23,21,-0.003410714285713248,-1.1724659775622663,cheap/compressed
Fly10,20,2026-05-06,2026-06-11,27,-0.0047037037037032945,-1.3894252008850398,cheap/compressed
