Date,Pair,Correlation
2024-01-03,Fly6/Fly7,
2024-01-04,Fly6/Fly7,
2024-01-05,Fly6/Fly7,
2024-01-08,Fly6/Fly7,
2024-01-09,Fly6/Fly7,
2024-01-10,Fly6/Fly7,
2024-01-11,Fly6/Fly7,
2024-01-12,Fly6/Fly7,
2024-01-15,Fly6/Fly7,
2024-01-16,Fly6/Fly7,
2024-01-17,Fly6/Fly7,
2024-01-18,Fly6/Fly7,
2024-01-19,Fly6/Fly7,
2024-01-22,Fly6/Fly7,
2024-01-23,Fly6/Fly7,
2024-01-24,Fly6/Fly7,
2024-01-25,Fly6/Fly7,
2024-01-26,Fly6/Fly7,
2024-01-29,Fly6/Fly7,
2024-01-30,Fly6/Fly7,
2024-01-31,Fly6/Fly7,
2024-02-01,Fly6/Fly7,
2024-02-02,Fly6/Fly7,
2024-02-05,Fly6/Fly7,
2024-02-06,Fly6/Fly7,
2024-02-07,Fly6/Fly7,
2024-02-08,Fly6/Fly7,
2024-02-09,Fly6/Fly7,
2024-02-12,Fly6/Fly7,
2024-02-13,Fly6/Fly7,
2024-02-14,Fly6/Fly7,
2024-02-15,Fly6/Fly7,
2024-02-16,Fly6/Fly7,
2024-02-19,Fly6/Fly7,
2024-02-20,Fly6/Fly7,
2024-02-21,Fly6/Fly7,
2024-02-22,Fly6/Fly7,
2024-02-23,Fly6/Fly7,
2024-02-26,Fly6/Fly7,
2024-02-27,Fly6/Fly7,
2024-02-28,Fly6/Fly7,
2024-02-29,Fly6/Fly7,
2024-03-01,Fly6/Fly7,
2024-03-04,Fly6/Fly7,
2024-03-05,Fly6/Fly7,
2024-03-06,Fly6/Fly7,
2024-03-07,Fly6/Fly7,
2024-03-08,Fly6/Fly7,
2024-03-11,Fly6/Fly7,
2024-03-12,Fly6/Fly7,
2024-03-13,Fly6/Fly7,
2024-03-14,Fly6/Fly7,
2024-03-15,Fly6/Fly7,
2024-03-18,Fly6/Fly7,
2024-03-19,Fly6/Fly7,
2024-03-20,Fly6/Fly7,
2024-03-21,Fly6/Fly7,
2024-03-22,Fly6/Fly7,
2024-03-25,Fly6/Fly7,
2024-03-26,Fly6/Fly7,
2024-03-27,Fly6/Fly7,-0.18448727471359816
2024-03-28,Fly6/Fly7,-0.18477740482481264
2024-04-02,Fly6/Fly7,-0.18648350683325368
2024-04-03,Fly6/Fly7,-0.1943480869561036
2024-04-04,Fly6/Fly7,-0.1929786536076297
2024-04-05,Fly6/Fly7,-0.19426924019567762
2024-04-08,Fly6/Fly7,-0.1886906753333496
2024-04-09,Fly6/Fly7,-0.11498985109352762
2024-04-10,Fly6/Fly7,-0.10421184481459671
2024-04-11,Fly6/Fly7,-0.10297651878461017
2024-04-12,Fly6/Fly7,-0.11454785377088829
2024-04-15,Fly6/Fly7,-0.08163369146290535
2024-04-16,Fly6/Fly7,-0.06385041935959017
2024-04-17,Fly6/Fly7,-0.06840506562847048
2024-04-18,Fly6/Fly7,-0.07077881255271395
2024-04-19,Fly6/Fly7,-0.06816652270945249
2024-04-22,Fly6/Fly7,-0.06984324685990263
2024-04-23,Fly6/Fly7,-0.06662719557592335
2024-04-24,Fly6/Fly7,-0.04806235550051654
2024-04-25,Fly6/Fly7,-0.058778847651664634
2024-04-26,Fly6/Fly7,-0.07464075551039127
2024-04-29,Fly6/Fly7,-0.0709665879464382
2024-04-30,Fly6/Fly7,-0.05835805969445589
2024-05-02,Fly6/Fly7,-0.0551942891712829
2024-05-03,Fly6/Fly7,-0.04245873576897622
2024-05-06,Fly6/Fly7,-0.028888934691279733
2024-05-07,Fly6/Fly7,-0.046175172743587255
2024-05-08,Fly6/Fly7,-0.046175172743589066
2024-05-09,Fly6/Fly7,-0.04480362150503379
2024-05-10,Fly6/Fly7,-0.04523158146035644
2024-05-13,Fly6/Fly7,-0.04472569402552579
2024-05-14,Fly6/Fly7,-0.05757082663030994
2024-05-15,Fly6/Fly7,-0.06379553956907275
2024-05-16,Fly6/Fly7,-0.06427016862729663
2024-05-17,Fly6/Fly7,-0.0667815722948738
2024-05-20,Fly6/Fly7,-0.07135626966044707
2024-05-21,Fly6/Fly7,-0.033015086485024756
2024-05-22,Fly6/Fly7,-0.0340957320094931
2024-05-23,Fly6/Fly7,-0.000584651614892843
2024-05-24,Fly6/Fly7,0.012260736292415765
2024-05-27,Fly6/Fly7,0.012967586243465199
2024-05-28,Fly6/Fly7,0.0003777890837100058
2024-05-29,Fly6/Fly7,0.0126226052650287
2024-05-30,Fly6/Fly7,0.01503387367514491
2024-05-31,Fly6/Fly7,0.004002064739741257
2024-06-03,Fly6/Fly7,0.003742631344943215
2024-06-04,Fly6/Fly7,-0.022924286146757476
2024-06-05,Fly6/Fly7,-0.016946290494754254
2024-06-06,Fly6/Fly7,-0.012686117215054618
2024-06-07,Fly6/Fly7,0.06869634235990661
2024-06-10,Fly6/Fly7,0.0738872767628692
2024-06-11,Fly6/Fly7,0.021944850048294887
2024-06-12,Fly6/Fly7,0.022393597849036957
2024-06-13,Fly6/Fly7,0.015308875552405145
2024-06-14,Fly6/Fly7,0.008743094864110585
2024-06-17,Fly6/Fly7,-0.18086570557456785
2024-06-18,Fly6/Fly7,-0.16775518710516793
2024-06-19,Fly6/Fly7,0.07165074660104459
2024-06-20,Fly6/Fly7,0.08372407380891336
2024-06-21,Fly6/Fly7,0.09976370915680202
2024-06-24,Fly6/Fly7,0.17056677406987011
2024-06-25,Fly6/Fly7,0.17355520590491028
2024-06-26,Fly6/Fly7,0.1723154030899649
2024-06-27,Fly6/Fly7,0.1723154030902798
2024-06-28,Fly6/Fly7,0.1710936508487201
2024-07-01,Fly6/Fly7,0.186172136835252
2024-07-02,Fly6/Fly7,0.16382855745678782
2024-07-03,Fly6/Fly7,0.17086705344143333
2024-07-04,Fly6/Fly7,0.14909810652944974
2024-07-05,Fly6/Fly7,0.14956037671466318
2024-07-08,Fly6/Fly7,0.16433736766353202
2024-07-09,Fly6/Fly7,0.17464638612275973
2024-07-10,Fly6/Fly7,0.16270017484623045
2024-07-11,Fly6/Fly7,0.14771916846765282
2024-07-12,Fly6/Fly7,0.1595499216732864
2024-07-15,Fly6/Fly7,0.15978008121343154
2024-07-16,Fly6/Fly7,0.15990086576347243
2024-07-17,Fly6/Fly7,0.17374623992238764
2024-07-18,Fly6/Fly7,0.17620152376797033
2024-07-19,Fly6/Fly7,0.2110492329758452
2024-07-22,Fly6/Fly7,0.23338001400440472
2024-07-23,Fly6/Fly7,0.22673347256683174
2024-07-24,Fly6/Fly7,0.2174928729254643
2024-07-25,Fly6/Fly7,0.2193416351650979
2024-07-26,Fly6/Fly7,0.21640758156652887
2024-07-29,Fly6/Fly7,0.20444046788291223
2024-07-30,Fly6/Fly7,0.20397541440835648
2024-07-31,Fly6/Fly7,0.1984142740597056
2024-08-01,Fly6/Fly7,0.18955209867837008
2024-08-02,Fly6/Fly7,0.18666885444699566
2024-08-05,Fly6/Fly7,0.17731726610297677
2024-08-06,Fly6/Fly7,0.1681237140269331
2024-08-07,Fly6/Fly7,0.15309669799063474
2024-08-08,Fly6/Fly7,0.1539004036432392
2024-08-09,Fly6/Fly7,0.15432075380859128
2024-08-12,Fly6/Fly7,0.15432075380867774
2024-08-13,Fly6/Fly7,0.14209270871780316
2024-08-14,Fly6/Fly7,0.12748756894243773
2024-08-15,Fly6/Fly7,0.09688431302540365
2024-08-16,Fly6/Fly7,0.08917211222402777
